trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,6,-113.81935310621432,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-144.5927121391005,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-115.14010304981346,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-36.68062290369156,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-173.5522438417539,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-101.06801041705006,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,15,-69.36021489769736,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,6,-18.1354078520618,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-75.39768599109523,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-139.86765710184167,"{0: 24, 1: 0, 2: 7, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-91.78900195640861,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,0,-69.67192338705829,"{0: 27, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-28.165209781621602,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-158.03163756763934,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-99.96583608043011,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,15,-33.368352734527036,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,15,-1.1843123019217918,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,17,-22.15096458016711,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-45.244101634507075,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0}",30,12,-48.71242073861168,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",35,0,-41.99155500217643,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",30,0,-52.34629708184179,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",35,17,-24.76936557919922,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,22.68792467598208,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-133.0139394882851,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",25,0,-54.678515605320946,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-68.01582193881657,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-88.78125452777888,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-97.19292848259018,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,8,9.56358162883001,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
