trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.65, 'e': 0.99999950000004167}",25,0,-89.48596921032758,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.65, 'e': 0.99999800000066663}",30,0,-165.44438212917507,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.65, 'e': 0.999995500003375}",20,0,-154.41264992828283,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
4,False,"{'a': 0.65, 'e': 0.99999200001066668}",25,0,-128.87207872590665,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.65, 'e': 0.99998750002604164}",20,0,-112.25943011716382,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.65, 'e': 0.99998200005399995}",25,0,-172.22715056963338,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
7,False,"{'a': 0.65, 'e': 0.99997550010004155}",30,0,-162.50148207776678,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.65, 'e': 0.99996800017066634}",25,0,-142.89817934847767,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.65, 'e': 0.99995950027337421}",20,0,-96.65748451304044,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.65, 'e': 0.99995000041666526}",25,0,-30.205344211715385,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.65, 'e': 0.99993950061003922}",25,0,-74.2396492300933,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.65, 'e': 0.9999280008639958}",25,0,-134.2585160099871,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.65, 'e': 0.99991550119003492}",20,0,-162.47421030105443,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.65, 'e': 0.99990200160065623}",25,0,-161.6280769983055,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.65, 'e': 0.99988750210935917}",25,0,-114.86555337348322,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.65, 'e': 0.99987200273064336}",25,0,-198.07959950934534,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0
17,False,"{'a': 0.65, 'e': 0.99985550348000818}",20,0,-147.17264541931084,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.65, 'e': 0.99983800437395276}",25,0,-176.86769357155404,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
19,False,"{'a': 0.65, 'e': 0.99981950542997633}",20,0,-25.444452800879574,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.65, 'e': 0.99980000666657776}",25,0,-227.26704605724032,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
21,False,"{'a': 0.65, 'e': 0.99977950810325589}",25,0,-152.5529863912339,"{0: 10, 1: 5, 2: 8, 3: 1, 4: 1}",0
22,False,"{'a': 0.65, 'e': 0.99975800976050921}",35,0,-270.4760436451007,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 5}",0
23,False,"{'a': 0.65, 'e': 0.9997355116598361}",20,14,-1.7303042107168012,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.65, 'e': 0.99971201382373454}",20,0,-80.01910883144053,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.65, 'e': 0.99968751627570263}",30,0,-107.76947088740441,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
