trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-180.62043553865448,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-271.624638204933,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.33596687587492,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-42.289570655760535,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.73909162814026,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-233.07845966360586,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,4,-86.77620319000133,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.48746055003397,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.60276219367783,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,12,-26.596675466170453,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-193.00652738016268,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.20768693191391,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.69450369285813,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.73706396335831,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.10147385326289,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.5942484854195,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.63941774257604,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.64921856681602,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-39.236065984406835,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-61.89611255470413,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-55.50802824439448,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.0826964141421,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,1,-83.31749458234883,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-70.79049345202499,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-254.1527265621654,"{0: 15, 1: 4, 2: 5, 3: 2, 4: 4}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-152.76707804055184,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-40.23870357793298,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.6674839435643,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,2,-88.88899437281029,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-187.71463073024717,"{0: 11, 1: 1, 2: 2, 3: 3, 4: 3}",0
